886|50
110|49
375|49
574|46
411|46
121|45
276|44
33|43
556|43
838|42
952|42
884|42
538|41
98|41
269|40
29|40
546|40
71|40
833|40
217|39
89|39
30|39
818|39
90|39
785|38
261|38
50|38
728|38
917|37
253|37
428|37
302|37
423|37
250|37
168|37
614|36
834|36
156|36
933|36
926|36
573|36
345|36
463|36
19|36
898|35
301|35
522|35
430|35
978|35
436|34
284|34
825|34
96|34
22|34
208|34
744|34
620|34
854|34
777|33
861|33
998|33
529|33
366|33
710|33
129|33
323|33
255|33
355|33
18|33
581|33
146|33
400|33
344|32
416|32
957|32
445|32
990|32
880|32
387|32
140|32
799|32
876|32
991|32
908|32
227|32
468|31
316|31
443|31
956|31
116|31
53|31
569|31
166|31
313|31
823|31
263|31
600|31
612|31
796|31
755|31
